"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAF",NA,NA,NA,0.58,2.64,0.38,0,560
"MAAT",NA,NA,NA,0.55,4.63,0.51,0,560
"AI",NA,NA,NA,0.48,1290,0.39,0,560
"MPCOQ",NA,NA,NA,0.37,51.2,0.58,0,560
