"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",500,49.3,0.44,0.64,0,-0.0023,437
"MAAT_1",500,4.08,0.66,0.42,0,-0.0023,437
"MAF_1",500,2.67,0.65,0.4,0,-0.0023,437
"AI_1",500,1230,0.35,0.38,0,-0.0023,437
