"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",500,44.5,0.17,0.58,0,-0.0031,324
"MAAT_1",500,4.44,0.34,0.5,0,-0.0031,324
"MAF_1",500,2.59,0.43,0.39,0,-0.0031,324
"AI_1",500,1450,0.38,0.39,0,-0.0031,324
