"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAF",NA,NA,NA,0.43,2.6,0.26,0,324
"AI",NA,NA,NA,0.39,1480,0.33,0,324
"MAAT",NA,NA,NA,0.36,4.37,0.39,0,324
"MPCOQ",NA,NA,NA,0.24,43.8,0.43,0,324
