"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAF",NA,NA,NA,0.59,2.76,0.35,0,348
"MAAT",NA,NA,NA,0.53,4.72,0.44,0,348
"AI",NA,NA,NA,0.42,1220,0.39,0,348
"MPCOQ",NA,NA,NA,0.38,53.8,0.59,0,348
