"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAAT",NA,NA,NA,0.66,4.07,0.43,0,437
"MAF",NA,NA,NA,0.66,2.64,0.4,0,437
"MPCOQ",NA,NA,NA,0.44,49,0.64,0,437
"AI",NA,NA,NA,0.35,1240,0.38,0,437
