"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",100,51.2,0.37,0.58,0,-0.0018,560
"MAAT_1",100,4.63,0.55,0.51,0,-0.0018,560
"MAF_1",100,2.64,0.58,0.38,0,-0.0018,560
"AI_1",100,1290,0.48,0.39,0,-0.0018,560
