"","MPCOQ","MAAT","MAF","AI"
"f.Ia",6.9,17,19,11
"f.Ib",8.5,8.9,11,7
"f.Ic",3.2,3,2.1,3.4
"f.IIa_5Me",7.2,6.9,4,5.7
"f.IIa_6Me",6.7,5,23,9.6
"f.IIb_5Me",6.1,7.3,5.7,4.7
"f.IIb_6Me",6.5,6.7,11,4.4
"f.IIc_5Me",8.5,6,3.5,3.1
"f.IIc_6Me",9.3,10,2.1,7.5
"f.IIIa_5Me",14,3.8,4.6,19
"f.IIIa_6Me",1.8,2.1,2.7,7.9
"f.IIIb_5Me",4.9,3.4,1.8,3.6
"f.IIIb_6Me",7.9,4.4,3.3,5.5
"f.IIIc_5Me",4.9,12,3.8,4.2
"f.IIIc_6Me",4.1,2.2,1.9,3
