"Mean" "Median" "Min" "Max" "Skewness" "Kurtosis" "Shapiro.p.value" "RMSE"
0.02 -0.11 -15.3 14.4 0.24 1.24 "***" 4.04
0.06 0.11 -14.2 13.6 0.04 1.01 "*" 3.77
0.11 -0.39 -14 17 0.57 1.19 "***" 4.54
0 -0.43 -13.5 14 0.47 0.65 "***" 4.26
0.02 -0.18 -12 13.8 0.31 0.26 "*" 4.1
0.08 -0.72 -12.1 13.4 0.72 0.98 "***" 4.46
-3.33 -3.64 -23.8 14 0.02 -0.1 " " 6.8
-4.41 -5.71 -20.8 9.5 0.4 -0.62 "***" 7.3
-6.89 -7.8 -23.6 8.1 0.26 -0.5 "***" 8.89
