"","MPCOQ","MAAT","MAF","AI"
"f.IIIa_5Me",10.3,9.5,13.4,13
"f.IIIa_6Me",8.2,8.1,7.1,7.9
"f.IIIb_5Me",6.4,3.5,3.7,4.9
"f.IIIb_6Me",8,5.4,4,4.8
"f.IIIc_5Me",4,3.1,3,4.4
"f.IIIc_6Me",4.3,3.1,3.3,3.8
"f.IIa_5Me",8.5,14.9,10.2,10.4
"f.IIa_6Me",7.4,9.7,12,10.6
"f.IIb_5Me",7.6,8.1,7.7,5.6
"f.IIb_6Me",6.3,5.6,6.2,5.3
"f.IIc_5Me",4.4,3.7,3.9,8
"f.IIc_6Me",4.5,3.2,3.7,4.6
"f.Ia",7.8,9.6,10.7,7.3
"f.Ib",6.8,7.3,6.3,5
"f.Ic",5.5,5.1,4.7,4.4
