"","MPCOQ","MAAT","MAF","AI"
"f.IIIa_5Me",8.2,5.7,8.3,10.6
"f.IIIa_6Me",4.7,4.2,7,7.3
"f.IIIb_5Me",7.2,5.9,4.3,5.5
"f.IIIb_6Me",7,4.5,3.5,6.2
"f.IIIc_5Me",6.1,8.2,6.3,4.8
"f.IIIc_6Me",7.6,8.5,6.2,5.4
"f.IIa_5Me",5.1,5.3,4.9,7.9
"f.IIa_6Me",6.1,6.6,11.5,9
"f.IIb_5Me",5.9,5.8,5.6,6.8
"f.IIb_6Me",7.1,6.1,7.3,5.6
"f.IIc_5Me",8.4,7.7,5.5,5.6
"f.IIc_6Me",8,8.9,5.6,6.2
"f.Ia",6.7,11.9,13.5,8
"f.Ib",6.9,6.5,6.8,6.2
"f.Ic",5,4.1,3.7,5
