"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAAT",NA,NA,NA,0.79,4.29,0.17,0,348
"MAF",NA,NA,NA,0.78,2.76,0.18,0,348
"MPCOQ",NA,NA,NA,0.71,48.2,0.25,0,348
"AI",NA,NA,NA,0.64,1220,0.22,0,348
