"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAAT",NA,NA,NA,0.78,4.3,0.23,0,560
"MAF",NA,NA,NA,0.77,2.58,0.24,0,560
"AI",NA,NA,NA,0.69,1300,0.28,0,560
"MPCOQ",NA,NA,NA,0.65,49.1,0.3,0,560
