"","MPCOQ","MAAT","MAF","AI"
"f.Ia",3.4,6.3,11,11
"f.Ib",10,16,14,4.6
"f.Ic",6.9,7.2,5.3,6.2
"f.IIa_5Me",5.7,7.4,4.4,22
"f.IIa_6Me",8.4,3.7,5.3,4.7
"f.IIb_5Me",7.6,7.5,5.1,3.4
"f.IIb_6Me",3.1,5,4.3,3.7
"f.IIc_5Me",4.7,5.9,5.9,8
"f.IIc_6Me",5.5,4.8,3.9,6.4
"f.IIIa_5Me",11,4.9,16,4.5
"f.IIIa_6Me",4.4,4.1,4.9,5.4
"f.IIIb_5Me",8,12,5,4.9
"f.IIIb_6Me",6.8,4.8,5.8,8.7
"f.IIIc_5Me",8.1,6.7,4.4,3.7
"f.IIIc_6Me",6.2,3.9,4.5,3.1
