"","Age","MPCOQ","MAAT","MAF","AI"
"1",-69,92.203650857882,5.39572172716219,10.6906943414207,4025.34367035789
"2",796,38.0811038311986,2.82201974515611,8.91160138763811,4226.07501703222
"3",1167,21.0455935376176,1.38586325247534,9.74472960507176,4539.96285352383
"4",1463,35.8673382757831,0.879591148234428,8.93620379076227,5495.09415029875
"5",1832,66.1990996023205,3.8469285449003,9.91538741086825,3376.11690926728
"6",2043,65.6756778469791,0.907549086645154,8.92099868036847,4638.81641622425
"7",2184,54.5632113539965,4.39260075187647,9.23219546875389,3803.29652770684
"8",2325,59.3655676210747,2.09532978669368,9.87141065213258,4311.68026331805
"9",2527,66.2071356434655,2.31137751281942,9.91382225166835,4512.92439483666
"10",2789,65.8699076748149,2.44335062097985,10.8997848365844,4597.17199042115
"11",3052,56.3278249304554,1.05496884019096,10.5010317566082,3878.53333538808
"12",3315,23.6039115799746,-0.300220665096794,9.57507958574248,3711.57632930282
"13",3577,70.2651302405827,5.34708373703942,10.5438807269877,3454.26593872862
"14",3840,56.8243181061335,6.92256887316,10.6235698250237,3551.23438288818
"15",4103,60.5791392253481,5.52953598048574,10.8451513322953,3465.27492895866
"16",4365,78.2710385396832,5.32819287659541,11.0447911929353,3557.02323790483
"17",4628,57.3744267516808,5.56894245633636,11.9003675892685,3551.49354536604
"18",4891,60.848942863082,5.2279622948968,11.2343994468753,3789.63049168613
"19",4960,90.716490855077,4.48515813564881,10.2040008696366,5489.69859053074
"20",4966,65.4671562488309,-0.487505477248731,8.84241718368132,5038.07946103924
"21",4971,38.1451259708253,0.668398240144069,8.1703105741321,4271.19562598312
"22",4980,80.1476049895619,-0.0121805213163044,9.29474713051478,5325.78453740931
"23",5007,81.4428460878673,1.37984188874854,9.80466928780073,4688.22512433408
"24",5034,81.2919924356916,2.25332886170724,11.2240044054479,4354.83537838155
"25",5061,75.4476998107432,-0.971803975715813,9.52634514579458,4920.51327024759
"26",5088,36.5709285734477,4.99217444996876,9.45204293820185,4123.75798402043
"27",5168,22.2633056505257,3.70907633415848,9.27937471441278,4177.60664080392
"28",5586,46.8548489984749,3.45449365066739,9.68360080271386,2654.28963151316
"29",6183,17.5946026862286,1.5657643910992,8.1596410665941,3631.48507142562
"30",7378,7.36822754156058,2.58893833786052,9.06894912793523,2091.50545320059
"31",7622,10.7077697819502,1.39595040794305,8.70684134925683,2062.04398527548
"32",7714,25.2143690578247,2.35622309048625,8.86627123960098,2771.23977334991
"33",7817,21.377387210689,2.65035224549671,9.11587579374866,1647.67753143047
"34",8039,17.8300359954094,3.03171616984586,8.63597290523678,1927.60927522661
"35",8149,28.7021998386965,2.74943339662177,8.63260854473229,2768.4641924166
"36",8260,28.9273164770322,4.18604238334636,9.56346393099818,2740.90783422602
"37",8481,18.4747527471724,3.22857768330817,9.87259580751046,1397.15369724867
"38",8592,23.4474536885119,2.56522147340424,9.85591675094154,1867.92984278731
"39",8702,10.0820576939511,4.98922139264791,10.0517522382685,2820.13988798199
"40",8813,15.5413224191264,2.29517732884074,8.46481140210662,3974.34716785045
"41",8953,64.1067451269611,5.9385914605941,10.7395795708644,3733.57392207491
"42",9103,36.3744550902883,2.70465691185313,7.85448159320955,3179.62315215694
"43",9253,10.227722524565,1.98071550751923,10.0288310724294,2787.0992014588
"44",9403,23.9326848981526,-0.198089232428599,8.32602675937027,3323.07064953535
"45",9553,22.6742174444628,0.0186698955850141,7.43057430003725,3504.65152182475
"46",9696,0.411502953504123,1.90598680386827,8.73484887298088,3203.07231796245
