"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",550,43.8,0.24,0.43,0,-0.0031,324
"MAAT_1",2250,4.37,0.36,0.39,0,-0.0031,324
"MAF_1",200,2.6,0.43,0.26,0,-0.0031,324
"AI_1",600,1480,0.39,0.33,0,-0.0031,324
