"","MPCOQ","MAAT","MAF","AI"
"f.IIIa_5Me",8.7,7.4,12.4,6.3
"f.IIIa_6Me",5.6,5,5.7,6.7
"f.IIIb_5Me",7,8.2,5.2,8.3
"f.IIIb_6Me",6.6,6,4.8,6.9
"f.IIIc_5Me",8.1,6.4,4.4,4.4
"f.IIIc_6Me",8.5,6.3,4.9,5.3
"f.IIa_5Me",5.6,9.1,7.2,11.2
"f.IIa_6Me",5.7,4.9,6.3,6.4
"f.IIb_5Me",5.6,5.3,5.3,5.1
"f.IIb_6Me",5.9,5,5.8,5.9
"f.IIc_5Me",7.5,6.1,5.4,7.7
"f.IIc_6Me",5.9,6.4,5.7,6.2
"f.Ia",6.6,4.9,9.6,7.5
"f.Ib",6.7,10.7,10,5
"f.Ic",6,8.5,7.3,7
