"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",1100,48.2,0.71,0.25,0,-0.0029,348
"MAAT_1",1600,4.29,0.79,0.17,0,-0.0029,348
"MAF_1",1250,2.76,0.78,0.18,0,-0.0029,348
"AI_1",1050,1220,0.64,0.22,0,-0.0029,348
