"","MPCOQ","MAAT","MAF","AI"
"f.Ia",4.2,8.5,14,9.2
"f.Ib",10,7.9,9.7,6.1
"f.Ic",3.7,4.6,3.8,4.4
"f.IIa_5Me",6,7.9,4.7,16
"f.IIa_6Me",8.3,5.3,15,6.8
"f.IIb_5Me",6.8,6.2,6.4,4.7
"f.IIb_6Me",5.1,5.8,9.3,4.1
"f.IIc_5Me",6.3,5.7,4.4,6.1
"f.IIc_6Me",9.3,12,2.8,7.3
"f.IIIa_5Me",11,7,11,10
"f.IIIa_6Me",4.2,2.9,2.7,6.9
"f.IIIb_5Me",7.2,10,4.1,5.2
"f.IIIb_6Me",5.9,4.5,4.7,5.2
"f.IIIc_5Me",7,7.7,3.3,4.3
"f.IIIc_6Me",4.6,3.6,2.8,3
