"","Best.R2","Best.RMSE","Param.choice","R2.choice","RMSE.choice","I","p.val","Nb"
"MAF",NA,NA,NA,0.43,2.59,0.39,0,324
"AI",NA,NA,NA,0.38,1450,0.39,0,324
"MAAT",NA,NA,NA,0.34,4.44,0.5,0,324
"MPCOQ",NA,NA,NA,0.17,44.5,0.58,0,324
