"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",1450,44.7,0.45,0.48,0,-0.0013,761
"MAAT_1",2200,3.98,0.64,0.28,0,-0.0013,761
"MAF_1",750,2.45,0.64,0.25,0,-0.0013,761
"AI_1",400,1340,0.4,0.3,0,-0.0013,761
