"","Nb.tree","RMSE","pseudo.R2","Moran.s.I","Moran.p.val","Moran.Expect","Nb"
"MPCOQ_1",100,53.8,0.38,0.59,0,-0.0029,348
"MAAT_1",100,4.72,0.53,0.44,0,-0.0029,348
"MAF_1",100,2.76,0.59,0.35,0,-0.0029,348
"AI_1",100,1220,0.42,0.39,0,-0.0029,348
