"","MPCOQ","MAAT","MAF","AI"
"f.IIIa_5Me",12.2,7,7.7,13.3
"f.IIIa_6Me",6.1,8.1,9,7.4
"f.IIIb_5Me",5.5,3.4,3.9,6.2
"f.IIIb_6Me",8.4,4.6,3.6,6.5
"f.IIIc_5Me",3.1,2.8,2.8,3.7
"f.IIIc_6Me",3.9,3,3.1,3.7
"f.IIa_5Me",7.2,10.8,8.2,8.7
"f.IIa_6Me",8.6,8.4,12.4,9.8
"f.IIb_5Me",7.6,8.6,7.7,6.9
"f.IIb_6Me",6.7,6.8,7,6.5
"f.IIc_5Me",4.1,2.7,2.8,5.5
"f.IIc_6Me",3.7,2.5,3.4,4.8
"f.Ia",9.3,17.2,17.4,7.6
"f.Ib",7.7,8.9,7,5.3
"f.Ic",5.8,5.2,4,4.2
